"gene_id","CD0-ND0","CD3-ND3","CD4-ND4"
"ATU_RS03775","None","None","None"
"ATU_RS03780","None","None","None"
"ATU_RS03785","None","Down","None"
"ATU_RS03790","None","None","None"
"ATU_RS03795","None","None","None"
"ATU_RS03800","None","None","None"
"ATU_RS03805","None","Down","Down"
"ATU_RS03810","None","None","None"
"ATU_RS03815","None","None","Up"
"ATU_RS03820","None","None","None"
"ATU_RS03825","None","None","None"
"ATU_RS03830","None","None","None"
"ATU_RS03835","None","None","Down"
"ATU_RS03840","None","Up","None"
"ATU_RS03845","None","Down","None"
"ATU_RS03850","None","Up","Up"
"ATU_RS03855","None","None","None"
"ATU_RS03860","None","Down","None"
"ATU_RS03865","None","Down","Down"
"ATU_RS03870","None","None","None"
"ATU_RS03875","None","None","None"
"ATU_RS03880","None","None","None"
"ATU_RS03885","None","Down","None"
"ATU_RS03890","None","Down","Down"
"ATU_RS03895","None","None","None"
"ATU_RS03900","None","Up","None"
"ATU_RS03905","None","Up","Up"
"ATU_RS03910","None","None","None"
"ATU_RS03915","None","Down","None"
"ATU_RS03920","None","Down","None"
